x	acos	binomial	nvidia0	nvidia1	nvidia2	nvidia3	nvidia4	nvidia5	nvidia6	d_binomial	d_nvidia0	d_nvidia1	d_nvidia2	d_nvidia3	d_nvidia4	d_nvidia5	d_nvidia6
-1.000000	3.141593	2.749944	3.141593	3.141593	3.141593	3.141593	3.141593	3.141593	3.141593	0.391649	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
-0.999900	3.127449	2.749784	3.127450	3.127450	3.127450	3.127450	3.127450	3.127450	3.127450	0.377665	-0.000001	-0.000001	-0.000001	-0.000001	-0.000001	-0.000001	-0.000001
-0.999800	3.121591	2.749624	3.121592	3.121592	3.121592	3.121592	3.121592	3.121592	3.121592	0.371966	-0.000001	-0.000001	-0.000001	-0.000001	-0.000001	-0.000001	-0.000001
-0.999700	3.117095	2.749464	3.117096	3.117096	3.117096	3.117096	3.117096	3.117096	3.117096	0.367631	-0.000001	-0.000001	-0.000001	-0.000001	-0.000001	-0.000001	-0.000001
-0.999600	3.113305	2.749304	3.113307	3.113307	3.113307	3.113307	3.113307	3.113307	3.113307	0.364001	-0.000001	-0.000001	-0.000001	-0.000001	-0.000001	-0.000001	-0.000001
-0.999500	3.109966	2.749144	3.109967	3.109967	3.109967	3.109967	3.109967	3.109967	3.109967	0.360822	-0.000001	-0.000001	-0.000001	-0.000001	-0.000001	-0.000001	-0.000001
-0.999400	3.106947	2.748984	3.106949	3.106949	3.106949	3.106949	3.106949	3.106949	3.106949	0.357963	-0.000002	-0.000002	-0.000002	-0.000002	-0.000002	-0.000002	-0.000002
-0.999300	3.104171	2.748824	3.104172	3.104172	3.104173	3.104172	3.104172	3.104172	3.104172	0.355347	-0.000002	-0.000002	-0.000002	-0.000002	-0.000002	-0.000002	-0.000002
-0.999200	3.101587	2.748664	3.101588	3.101588	3.101589	3.101588	3.101588	3.101588	3.101588	0.352923	-0.000002	-0.000002	-0.000002	-0.000002	-0.000002	-0.000002	-0.000002
-0.999100	3.099159	2.748503	3.099162	3.099162	3.099162	3.099162	3.099162	3.099162	3.099162	0.350656	-0.000002	-0.000002	-0.000002	-0.000002	-0.000002	-0.000002	-0.000002
-0.999000	3.096864	2.748344	3.096866	3.096866	3.096866	3.096866	3.096866	3.096866	3.096866	0.348520	-0.000002	-0.000002	-0.000002	-0.000002	-0.000002	-0.000002	-0.000002
-0.998900	3.094680	2.748183	3.094682	3.094682	3.094682	3.094683	3.094683	3.094683	3.094683	0.346497	-0.000002	-0.000002	-0.000002	-0.000002	-0.000002	-0.000002	-0.000002
-0.998800	3.092594	2.748023	3.092596	3.092596	3.092596	3.092596	3.092596	3.092596	3.092596	0.344571	-0.000002	-0.000002	-0.000002	-0.000002	-0.000002	-0.000002	-0.000002
-0.998700	3.090593	2.747863	3.090595	3.090595	3.090595	3.090595	3.090595	3.090595	3.090595	0.342730	-0.000002	-0.000002	-0.000003	-0.000002	-0.000002	-0.000002	-0.000002
-0.998600	3.088667	2.747703	3.088670	3.088670	3.088670	3.088670	3.088670	3.088670	3.088670	0.340964	-0.000002	-0.000002	-0.000002	-0.000002	-0.000002	-0.000002	-0.000002
-0.998500	3.086809	2.747543	3.086812	3.086812	3.086812	3.086812	3.086812	3.086812	3.086812	0.339266	-0.000003	-0.000003	-0.000003	-0.000003	-0.000003	-0.000003	-0.000003
-0.998400	3.085012	2.747383	3.085014	3.085014	3.085015	3.085015	3.085015	3.085015	3.085015	0.337629	-0.000002	-0.000002	-0.000003	-0.000003	-0.000003	-0.000003	-0.000003
-0.998300	3.083270	2.747223	3.083273	3.083273	3.083273	3.083273	3.083273	3.083273	3.083273	0.336047	-0.000003	-0.000003	-0.000003	-0.000003	-0.000003	-0.000003	-0.000003
-0.998200	3.081579	2.747062	3.081581	3.081581	3.081582	3.081582	3.081582	3.081582	3.081582	0.334516	-0.000003	-0.000003	-0.000003	-0.000003	-0.000003	-0.000003	-0.000003
-0.998100	3.079934	2.746902	3.079937	3.079937	3.079937	3.079937	3.079937	3.079937	3.079937	0.333031	-0.000003	-0.000003	-0.000003	-0.000003	-0.000003	-0.000003	-0.000003
-0.998000	3.078331	2.746742	3.078334	3.078334	3.078334	3.078334	3.078334	3.078334	3.078334	0.331589	-0.000003	-0.000003	-0.000003	-0.000003	-0.000003	-0.000003	-0.000003
-0.997900	3.076768	2.746582	3.076771	3.076771	3.076771	3.076771	3.076771	3.076771	3.076771	0.330187	-0.000003	-0.000003	-0.000003	-0.000003	-0.000003	-0.000003	-0.000003
-0.997800	3.075243	2.746422	3.075245	3.075245	3.075246	3.075245	3.075245	3.075245	3.075245	0.328821	-0.000003	-0.000003	-0.000003	-0.000003	-0.000003	-0.000003	-0.000003
-0.997700	3.073751	2.746262	3.073754	3.073754	3.073754	3.073754	3.073754	3.073754	3.073754	0.327489	-0.000003	-0.000003	-0.000003	-0.000003	-0.000003	-0.000003	-0.000003
-0.997600	3.072291	2.746101	3.072294	3.072294	3.072294	3.072294	3.072294	3.072294	3.072294	0.326190	-0.000003	-0.000003	-0.000003	-0.000003	-0.000003	-0.000003	-0.000003
-0.997500	3.070861	2.745941	3.070864	3.070864	3.070865	3.070864	3.070864	3.070864	3.070864	0.324920	-0.000003	-0.000003	-0.000003	-0.000003	-0.000003	-0.000003	-0.000003
-0.997400	3.069460	2.745781	3.069463	3.069463	3.069463	3.069463	3.069463	3.069463	3.069463	0.323679	-0.000003	-0.000003	-0.000003	-0.000003	-0.000003	-0.000003	-0.000003
-0.997300	3.068085	2.745621	3.068089	3.068089	3.068089	3.068089	3.068089	3.068089	3.068089	0.322464	-0.000003	-0.000003	-0.000003	-0.000004	-0.000004	-0.000004	-0.000004
-0.997200	3.066736	2.745461	3.066739	3.066739	3.066739	3.066739	3.066739	3.066739	3.066739	0.321275	-0.000003	-0.000003	-0.000003	-0.000004	-0.000004	-0.000004	-0.000004
-0.997100	3.065410	2.745301	3.065413	3.065413	3.065414	3.065413	3.065413	3.065413	3.065413	0.320110	-0.000003	-0.000003	-0.000004	-0.000003	-0.000003	-0.000003	-0.000003
